序号,片名,年份,类型,摄影指导/视觉总监,核心视觉关键词,主要摄影机/技术工具
1,Baraka,1992,纪录/实验,Ron Fricke,"non-verbal, 70mm cinematography, slow-motion, time-lapse, cultural and natural wonders",Todd-AO 65mm cameras
2,Fallen Angels,1995,电影,Christopher Doyle,"广角变形, 霓虹色彩, 手持摄影, 都市孤独, 高反差","Arriflex 35 BL, 6.5mm wide-angle lens"
3,Ghost in the Shell,1995,动漫/动画,Hisao Shirai,"Cyberpunk, Dystopian, Philosophical, Rainy, Neon-lit","Cel animation, CGI"
4,Toy Story,1995,动漫/动画,John Lasseter,"First full-length 3D CGI film, groundbreaking character animation, realistic textures and lighting",Pixar RenderMan
5,Fargo,1996,电影,Roger Deakins,"雪景构图, 极简主义, 冷色调, 广角镜头","Arriflex 35 BL4, Zeiss Standard Speed Lenses"
6,Independence Day,1996,纪录/实验,Karl Walter Lindenlaub,"large-scale destruction,practical effects,miniatures,epic scope","Panavision Panaflex, Arriflex 535"
7,Mission: Impossible,1996,电影,Stephen H. Burum,"Dutch angles, wide lenses, suspense",Panavision Panaflex Platinum
8,The English Patient,1996,电影,John Seale,"史诗感, 沙漠色调, 油画质感, 光影雕刻","Panavision Panaflex Gold, Panavision Primo Lenses"
9,The Watermelon Woman,1996,纪录/实验,Michelle Crenshaw,"mockumentary, New Queer Cinema, archival footage, direct-to-camera address, 16mm aesthetic","16mm film cameras, video"
10,Event Horizon,1997,纪录/实验,Adrian Biddle,"gothic horror,sci-fi horror,hell dimension,strobe effects","Panavision Panaflex, Arriflex 35-III"
11,Face/Off,1997,电影,Oliver Wood,"Gun-fu, slow-motion, doves",Panavision Panaflex Platinum
12,Gattaca,1997,纪录/实验,Slawomir Idziak,"retro-futurism,color-coded,sterile aesthetic,high contrast","Arriflex 35-III, Moviecam SL"
13,Gummo,1997,纪录/实验,Jean-Yves Escoffier,"non-linear narrative, lo-fi aesthetic, white trash culture, shocking imagery, mixed media (35mm, 8mm, VHS, Polaroid)","Aaton 35-III, Arriflex 535 B, Canon Auto Zoom 814, Polaroid cameras"
14,Perfect Blue,1997,动漫/动画,Hisao Shirai,"Psychological thriller, Identity, Voyeurism, Surreal, Dreamlike",Cel animation
15,Princess Mononoke,1997,动漫/动画,Atsushi Okui,"Environmentalism, Ghibli aesthetic, Hand-drawn, Mythical creatures, Epic scale","Traditional animation, Digital ink and paint"
16,Starship Troopers,1997,纪录/实验,Jost Vacano,"satire,propaganda film style,practical effects,large-scale battles","Arriflex 535, Moviecam SL"
17,The Fifth Element,1997,纪录/实验,Thierry Arbogast,"pop-art aesthetic,vibrant colors,Jean Giraud design,practical effects","Arriflex 35-III, Arriflex 435, Panavision Panaflex"
18,Titanic,1997,电影,Russell Carpenter,"史诗感, CG与实景结合, 宏大场面, 浪漫光影","Panavision Panaflex Gold II, Panavision Primo Lenses"
19,Cowboy Bebop,1998,动漫/动画,Yutaka Mase,"Space western, Film noir, Jazz-inspired, Gritty, Stylish","Cel animation, Digital effects"
20,Dark City,1998,剧集,Dariusz Wolski,"film noir,German Expressionism,gothic,urban decay","Panavision Panaflex Gold II, Panavision Primo Lenses"
21,Saving Private Ryan,1998,纪录/实验,Janusz Kamiński,"减饱和度, 90度快门, 手持摄影, 战场纪实感","Panavision Panaflex Millennium, Panavision Primo Lenses"
